ماه,نام کالا,وزن خالص فروش
خرداد,وکيوم سوسيس هات داگ رويال (70درصد گوشت),32
خرداد,کاردبرد گوشت پرسی 200gr(90% گوشت),31
خرداد,کارد برد بیکن سینه بوقلمون 250gr(98درصد),29
خرداد,کارد برد کالباس مرغ پرسی250gr (90% مرغ),29
خرداد,همبرگر  500 گرمی (30 % گوشت قرمز)-قازاریان,29
خرداد,وکیوم ژامبون بوقلمون 300gr(98درصد),29
خرداد,دارفرش سالامی روسی 250gr(97درصد گوشت),27
خرداد,دارفرش کالباس پپروني 250gr (70درصد گوشت),27
خرداد,وکیوم رولت مخلوط 300gr(98درصد گوشت قرمز و بوقلمون),26
خرداد,دارفرش بیکن مرغ 250gr(98درصد),24
خرداد,وکیوم بیکن مرغ 300gr(98درصد),24
خرداد,توری کوکتل لیونر 500gr(55درصد ),21
خرداد,وکيوم کالباس خشک ممتاز گرد 300gr (70درصد گوشت),21
خرداد,کارد برد رولت مخلوط 250gr(98درصد گوشت قرمز و بوقلمون),21
خرداد,وکیوم سوسیس کوکتل وینر دودی 80%,20
خرداد,وکیوم استیک ژانویه 300gr(97درصد گوشت),17
خرداد,وکیوم کالباس لیونر 300gr(55درصد گوشت),14
خرداد,وکيوم سوسيس کبابي (90درصد گوشت),14
خرداد,پاستیرما,14
خرداد,وکيوم سوسيس سوجوک (90درصد گوشت),13
خرداد,کاردبرد فیله بوقلمون فرآوری اسپایسی 250gr(98درصد),12
خرداد,کارد برد استیک ژانویه 250gr(97درصد گوشت),11
